ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
1,1,0,-3,-1,1.0834,1.1246,1.0815,1.1159,0.025159526,0.0024098619,0.0297130202,0.0117375067,0.0250577901,0.0037047328,0.025159526,0.0024098619,-0.010992031,Buy,2016W05
1,-1,0,-3,-3,1.0799,1.097,1.0789,1.0837,-0.00072873,0.0008348794,0.0037047328,0.025159526,0.0024098619,-0.010992031,-0.00072873,0.0008348794,-0.001372119,Buy,2016W04
1,-1,0,-3,-3,1.0919,1.0978,1.078,1.0797,-0.00081915,-0.002406071,-0.010992031,-0.00072873,0.0008348794,-0.001372119,-0.00081915,-0.002406071,0.0066298343,Sell,2016W03
1,-1,0,-3,-3,1.0925,1.0987,1.0806,1.0917,0.0034706366,0.0087752054,-0.001372119,-0.00081915,-0.002406071,0.0066298343,0.0034706366,0.0087752054,-0.01065865,Hold,2016W02
1,-1,0,-3,-3,1.0858,1.0949,1.0712,1.0932,-0.004093142,-0.012263716,0.0066298343,0.0034706366,0.0087752054,-0.01065865,-0.004093142,-0.012263716,0.0100294442,Hold,2016W01
0,-1,1,-3,-3,1.0865,1.0988,1.085,1.0977,-0.006689568,0.0044436216,0.0100294442,0.0005460502,-0.000460829,-0.011101001,-0.006689568,0.0044436216,0.009553555,Buy,2015W51
0,-1,1,-3,-3,1.0986,1.1062,1.0802,1.0868,0.001720547,0.0005557614,-0.011101001,-0.006689568,0.0044436216,0.009553555,0.001720547,0.0005557614,0.0276597753,Hold,2015W50
0,-1,1,-3,-3,1.086,1.1043,1.0796,1.099,0.0055545438,0.024288425,0.009553555,0.001720547,0.0005557614,0.0276597753,0.0055545438,0.024288425,-0.004978396,Buy,2015W49
0,-1,1,-3,-3,1.0592,1.0982,1.054,1.0886,0.0271230827,-0.002649508,0.0276597753,0.0055545438,0.024288425,-0.004978396,0.0271230827,-0.002649508,-0.012338807,Hold,2015W48
0,-4,1,-2,-5,1.0648,1.0692,1.0568,1.0593,-0.008255264,-0.004708985,-0.004978396,0.0271230827,-0.002649508,-0.012338807,-0.008255264,-0.004708985,0.0035378456,Sell,2015W47
0,-4,1,-2,-5,1.0752,1.0781,1.0618,1.0646,-0.004616379,-0.005339578,-0.012338807,-0.008255264,-0.004708985,0.0035378456,-0.004616379,-0.005339578,-0.023989096,Sell,2015W46
0,-4,1,-2,-5,1.0737,1.0831,1.0675,1.0779,-0.020173693,-0.0031749,0.0035378456,-0.004616379,-0.005339578,-0.023989096,-0.020173693,-0.0031749,-0.001179887,Hold,2015W45
0,-4,1,-2,-5,1.1016,1.1054,1.0709,1.0741,-0.003785148,-0.017072051,-0.023989096,-0.020173693,-0.0031749,-0.001179887,-0.003785148,-0.017072051,-0.028908867,Sell,2015W44
-1,-1,1,-4,-5,1.1007,1.1096,1.0895,1.1005,-0.025726578,-0.009275257,-0.001179887,-0.003785148,-0.017072051,-0.028908867,-0.025726578,-0.009275257,-0.001056524,Sell,2015W43
-1,-1,1,-4,-5,1.1353,1.1389,1.0997,1.1018,-0.009307585,-0.029733545,-0.028908867,-0.025726578,-0.009275257,-0.001056524,-0.009307585,-0.029733545,0.013112122,Sell,2015W42
-1,-1,1,-4,-5,1.1355,1.1496,1.1334,1.1346,0.0092178035,0.0143189547,-0.001056524,-0.009307585,-0.029733545,0.013112122,0.0092178035,0.0143189547,0.0014292095,Hold,2015W41
-1,-1,1,-4,-5,1.1223,1.1391,1.1174,1.1358,0.006360986,0.0035024697,0.013112122,0.0092178035,0.0143189547,0.0014292095,0.006360986,0.0035024697,-0.009730208,Buy,2015W40
-1,-1,1,-4,-5,1.1195,1.1319,1.1135,1.1211,-0.00088269,0.0028821039,0.0014292095,0.006360986,0.0035024697,-0.009730208,-0.00088269,0.0028821039,-0.00308642,Buy,2015W39
-2,-4,-1,-3,-10,1.1281,1.1329,1.1103,1.1195,-0.011431065,-0.009810042,-0.009730208,-0.00088269,0.0028821039,-0.00308642,-0.011431065,-0.009810042,0.0173140755,Sell,2015W38
-2,-4,-1,-3,-10,1.1336,1.146,1.1213,1.1305,0.0097805974,0.0083633094,-0.00308642,-0.011431065,-0.009810042,0.0173140755,0.0097805974,0.0083633094,-0.00286251,Hold,2015W37
-2,-4,-1,-3,-10,1.1158,1.1349,1.112,1.134,0.0015001765,0.0029764589,0.0173140755,0.0097805974,0.0083633094,-0.00286251,0.0015001765,0.0029764589,-0.018438844,Buy,2015W36
-2,-4,-1,-3,-10,1.1174,1.1332,1.1087,1.1147,-0.032362736,-0.006185013,-0.00286251,0.0015001765,0.0029764589,-0.018438844,-0.032362736,-0.006185013,0.0254817216,Sell,2015W35
-2,-7,-2,-3,-14,1.1361,1.1711,1.1156,1.1179,0.0278216605,0.0125249592,-0.018438844,-0.032362736,-0.006185013,0.0254817216,0.0278216605,0.0125249592,0.0124897438,Hold,2015W34
-2,-7,-2,-3,-14,1.1107,1.1394,1.1018,1.1389,0.0161419781,0.0086049066,0.0254817216,0.0278216605,0.0125249592,0.0124897438,0.0161419781,0.0086049066,-0.001729159,Buy,2015W33
-2,-7,-2,-3,-14,1.0966,1.1213,1.0924,1.1106,0.0195490089,0.0067274906,0.0124897438,0.0161419781,0.0086049066,-0.001729159,0.0195490089,0.0067274906,0.0003641661,Buy,2015W32
-2,-7,-2,-3,-14,1.0972,1.0998,1.0851,1.0969,-0.011771049,-0.003855687,-0.001729159,0.0195490089,0.0067274906,0.0003641661,-0.011771049,-0.003855687,0.0142197599,Sell,2015W31
-3,-4,-3,-4,-14,1.0972,1.1129,1.0893,1.0988,0.0098911071,0.0076780759,0.0003641661,-0.011771049,-0.003855687,0.0142197599,0.0098911071,0.0076780759,-0.029917592,Buy,2015W30
-3,-4,-3,-4,-14,1.0833,1.102,1.081,1.0984,-0.015895696,-0.001662357,0.0142197599,0.0098911071,0.0076780759,-0.029917592,-0.015895696,-0.001662357,0.0044988303,Hold,2015W29
-3,-4,-3,-4,-14,1.1106,1.1198,1.0828,1.083,-0.001782849,-0.008152423,-0.029917592,-0.015895696,-0.001662357,0.0044988303,-0.001782849,-0.008152423,-0.004656994,Sell,2015W28
-3,-4,-3,-4,-14,1.0994,1.1218,1.0917,1.1164,-0.005496454,-0.003468736,0.0044988303,-0.001782849,-0.008152423,-0.004656994,-0.005496454,-0.003468736,-0.016471417,Hold,2015W27
-3,-4,-3,-4,-14,1.1032,1.128,1.0955,1.1114,-0.011566772,-0.015811697,-0.004656994,-0.005496454,-0.003468736,-0.016471417,-0.011566772,-0.015811697,0.0074540776,Sell,2015W26
-3,-4,-1,-2,-10,1.1364,1.1412,1.1131,1.1166,-0.002185888,-0.005183663,-0.016471417,-0.011566772,-0.015811697,0.0074540776,-0.002185888,-0.005183663,0.0140376136,Sell,2015W25
-3,-4,-1,-2,-10,1.1226,1.1437,1.1189,1.1353,0.0045674133,0.0097464128,0.0074540776,-0.002185888,-0.005183663,0.0140376136,0.0045674133,0.0097464128,0.0113760466,Buy,2015W24
-3,-4,-1,-2,-10,1.1114,1.1385,1.1081,1.1269,0.000351463,0.0177259368,0.0140376136,0.0045674133,0.0097464128,0.0113760466,0.000351463,0.0177259368,-0.002722817,Buy,2015W23
-3,-4,-1,-2,-10,1.0988,1.1381,1.0888,1.1113,0.0336966394,0.0063776689,0.0113760466,0.000351463,0.0177259368,-0.002722817,0.0336966394,0.0063776689,-0.037981315,Buy,2015W22
-2,-5,0,-4,-11,1.1004,1.101,1.0819,1.0988,-0.03851192,-0.016722712,-0.002722817,0.0336966394,0.0063776689,-0.037981315,-0.03851192,-0.016722712,0.0222242056,Sell,2015W21
-2,-5,0,-4,-11,1.1442,1.1451,1.1003,1.1018,-0.001395308,-0.011588214,-0.037981315,-0.03851192,-0.016722712,0.0222242056,-0.001395308,-0.011588214,0.0002678332,Sell,2015W20
-2,-5,0,-4,-11,1.1198,1.1467,1.1132,1.1453,0.0064952164,0.0059642147,0.0222242056,-0.001395308,-0.011588214,0.0002678332,0.0064952164,0.0059642147,0.0300717307,Buy,2015W19
-2,-5,0,-4,-11,1.1201,1.1393,1.1066,1.1204,0.0090337437,0.0228302061,0.0002678332,0.0064952164,0.0059642147,0.0300717307,0.0090337437,0.0228302061,0.0061996854,Buy,2015W18
-2,-5,0,-4,-11,1.0872,1.1291,1.0819,1.1201,0.0357765343,0.0149155722,0.0300717307,0.0090337437,0.0228302061,0.0061996854,0.0357765343,0.0149155722,0.0191437194,Buy,2015W17
-2,-5,0,-1,-8,1.0822,1.0901,1.066,1.0874,0.0047004608,0.0132116719,0.0061996854,0.0357765343,0.0149155722,0.0191437194,0.0047004608,0.0132116719,-0.034068136,Buy,2015W16
-2,-5,0,-1,-8,1.0602,1.085,1.0521,1.0807,-0.01694301,-0.004541584,0.0191437194,0.0047004608,0.0132116719,-0.034068136,-0.01694301,-0.004541584,0.008173386,Hold,2015W15
-2,-5,0,-1,-8,1.099,1.1037,1.0569,1.0604,0.0008161045,-0.013533694,-0.034068136,-0.01694301,-0.004541584,0.008173386,0.0008161045,-0.013533694,0.0061910922,Hold,2015W14
-2,-5,0,-1,-8,1.0889,1.1028,1.0714,1.0978,-0.002261829,-0.005014859,0.008173386,0.0008161045,-0.013533694,0.0061910922,-0.002261829,-0.005014859,0.0311576941,Hold,2015W13
-5,-5,-2,0,-12,1.0837,1.1053,1.0768,1.0889,0.0018127436,0.029642379,0.0061910922,-0.002261829,-0.005014859,0.0311576941,0.0018127436,0.029642379,-0.032183696,Buy,2015W12
-5,-5,-2,0,-12,1.0494,1.1033,1.0458,1.0822,0.0114594793,-0.000382336,0.0311576941,0.0018127436,0.029642379,-0.032183696,0.0114594793,-0.000382336,-0.0314398,Hold,2015W11
-5,-5,-2,0,-12,1.0832,1.0908,1.0462,1.0495,-0.029623699,-0.034959875,-0.032183696,0.0114594793,-0.000382336,-0.0314398,-0.029623699,-0.034959875,-0.016255162,Sell,2015W10
-5,-5,-2,0,-12,1.1187,1.1241,1.0841,1.0844,-0.015243101,-0.030148506,-0.0314398,-0.029623699,-0.034959875,-0.016255162,-0.015243101,-0.030148506,-0.000351339,Sell,2015W09
-6,-5,-3,-3,-17,1.1384,1.1415,1.1178,1.1196,-0.003317908,-0.009042553,-0.016255162,-0.015243101,-0.030148506,-0.000351339,-0.003317908,-0.009042553,0.006097561,Sell,2015W08
-6,-5,-3,-3,-17,1.1386,1.1453,1.128,1.1381,0.0008738967,0.0007097232,-0.000351339,-0.003317908,-0.009042553,0.006097561,0.0008738967,0.0007097232,0.0024805103,Hold,2015W07
-6,-5,-3,-3,-17,1.1317,1.1443,1.1272,1.1385,-0.007975726,-0.00070922,0.006097561,0.0008738967,0.0007097232,0.0024805103,-0.007975726,-0.00070922,0.0071377587,Hold,2015W06
-6,-5,-3,-3,-17,1.1284,1.1535,1.128,1.1316,0.0097163866,0.0162162162,0.0024805103,-0.007975726,-0.00070922,0.0071377587,0.0097163866,0.0162162162,-0.03120408,Buy,2015W05
-6,-4,-4,-2,-16,1.1186,1.1424,1.11,1.1288,-0.021498929,-0.001259672,0.0071377587,0.0097163866,0.0162162162,-0.03120408,-0.021498929,-0.001259672,-0.023053538,Hold,2015W04
-6,-4,-4,-2,-16,1.155,1.1675,1.1114,1.1208,-0.016593666,-0.030361194,-0.03120408,-0.021498929,-0.001259672,-0.023053538,-0.016593666,-0.030361194,-0.013413313,Sell,2015W03
-6,-4,-4,-2,-16,1.184,1.1872,1.1462,1.1569,-0.011325783,-0.025008506,-0.023053538,-0.016593666,-0.030361194,-0.013413313,-0.011325783,-0.025008506,-0.014208279,Sell,2015W02
-6,-4,-4,-2,-16,1.2004,1.2008,1.1756,1.1842,-0.01758979,-0.020496584,-0.013413313,-0.011325783,-0.025008506,-0.014208279,-0.01758979,-0.020496584,-0.004252535,Sell,2015W01
-8,-6,-2,-1,-17,1.2227,1.2273,1.2166,1.2176,-0.023705354,-0.004581901,-0.004252535,-0.004073984,-0.013480191,-0.018777082,-0.023705354,-0.004581901,0.0143252483,Sell,2014W51
-8,-6,-2,-1,-17,1.2464,1.2571,1.2222,1.2228,0.0060019206,-0.002041316,-0.018777082,-0.023705354,-0.004581901,0.0143252483,0.0060019206,-0.002041316,-0.013331192,Hold,2014W50
-8,-6,-2,-1,-17,1.2279,1.2496,1.2247,1.2462,-0.000879507,-0.001955831,0.0143252483,0.0060019206,-0.002041316,-0.013331192,-0.000879507,-0.001955831,0.0050040355,Hold,2014W49
-8,-6,-2,-1,-17,1.2455,1.2507,1.2271,1.2286,-0.002074523,-0.007120317,-0.013331192,-0.000879507,-0.001955831,0.0050040355,-0.002074523,-0.007120317,-0.010699457,Sell,2014W48
