ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
0,-1,0,-3,-4,1.175,1.1942,1.1731,1.1926,0.0086148649,0.0058304038,0.0139432069,0.0108022107,0.0078424687,-0.004991118,0.0086148649,0.0058304038,0.0041624193,Buy,2017W34
0,-1,0,-3,-4,1.1806,1.184,1.1663,1.1762,-0.0005065,-0.002053564,-0.004991118,0.0086148649,0.0058304038,0.0041624193,-0.0005065,-0.002053564,0.001701838,Sell,2017W33
0,-1,0,-3,-4,1.1766,1.1846,1.1687,1.1821,-0.005624108,-0.003240938,0.0041624193,-0.0005065,-0.002053564,0.001701838,-0.005624108,-0.003240938,0.0076309697,Hold,2017W32
0,-1,0,-3,-4,1.1739,1.1913,1.1725,1.1772,0.0114620479,0.0096443641,0.001701838,-0.005624108,-0.003240938,0.0076309697,0.0114620479,0.0096443641,0.0169151626,Buy,2017W31
-1,-3,0,-4,-8,1.166,1.1778,1.1613,1.1752,0.00804519,0.015566244,0.0076309697,0.0114620479,0.0096443641,0.0169151626,0.00804519,0.015566244,0.0059643891,Buy,2017W30
-1,-3,0,-4,-8,1.1464,1.1684,1.1435,1.1663,0.0167957532,0.0056283528,0.0169151626,0.00804519,0.015566244,0.0059643891,0.0167957532,0.0056283528,-0.002187992,Buy,2017W29
-1,-3,0,-4,-8,1.1392,1.1491,1.1371,1.1469,0.004458042,0.0052157001,0.0059643891,0.0167957532,0.0056283528,-0.002187992,0.004458042,0.0052157001,0.0207253886,Buy,2017W28
-1,-3,0,-4,-8,1.1419,1.144,1.1312,1.1401,-0.000698812,0.0124407053,-0.002187992,0.004458042,0.0052157001,0.0207253886,-0.000698812,0.0124407053,-0.000357207,Sell,2017W27
-1,-3,-1,-3,-8,1.1202,1.1448,1.1173,1.1426,0.0207757468,0.0048565518,0.0207253886,-0.000698812,0.0124407053,-0.000357207,0.0207757468,0.0048565518,0.0001786352,Buy,2017W26
-1,-3,-1,-3,-8,1.12,1.1215,1.1119,1.1194,-0.00717068,-0.00107807,-0.000357207,0.0207757468,0.0048565518,0.0001786352,-0.00717068,-0.00107807,-0.007622762,Sell,2017W25
-1,-3,-1,-3,-8,1.1194,1.1296,1.1131,1.1198,0.0008860535,-0.003313037,0.0001786352,-0.00717068,-0.00107807,-0.007622762,0.0008860535,-0.003313037,0.0088527229,Hold,2017W24
-1,-3,-1,-3,-8,1.128,1.1286,1.1168,1.1196,-0.000088598,0.0052205221,-0.007622762,0.0008860535,-0.003313037,0.0088527229,-0.000088598,0.0052205221,-0.002141519,Sell,2017W23
-1,-3,-1,-3,-8,1.1179,1.1287,1.111,1.1282,0.001686191,-0.004391074,0.0088527229,-0.000088598,0.0052205221,-0.002141519,0.001686191,-0.004391074,0.025249291,Hold,2017W22
-2,-3,-3,-3,-11,1.1201,1.1268,1.1159,1.1183,0.0048154093,0.021605786,-0.002141519,0.001686191,-0.004391074,0.025249291,0.0048154093,0.021605786,-0.006092017,Hold,2017W21
-2,-3,-3,-3,-11,1.0927,1.1214,1.0923,1.1207,0.0171428571,0.0075638779,0.025249291,0.0048154093,0.021605786,-0.006092017,0.0171428571,0.0075638779,0.009268606,Buy,2017W20
-2,-3,-3,-3,-11,1.0999,1.1025,1.0841,1.0931,0.002090529,-0.003218095,-0.006092017,0.0171428571,0.0075638779,0.009268606,0.002090529,-0.003218095,0.0157531693,Hold,2017W19
-2,-3,-3,-3,-11,1.0908,1.1002,1.0876,1.0998,0.0045653762,0.0050827095,0.009268606,0.002090529,-0.003218095,0.0157531693,0.0045653762,0.0050827095,0.0109310215,Buy,2017W18
-5,-1,-3,-3,-12,1.0891,1.0952,1.0821,1.0897,0.0160497263,0.0206564799,0.0157531693,0.0045653762,0.0050827095,0.0109310215,0.0160497263,0.0206564799,0.0020774315,Buy,2017W17
-5,-1,-3,-3,-12,1.0614,1.0779,1.0602,1.0728,0.0093641727,0.0029325513,0.0109310215,0.0160497263,0.0206564799,0.0020774315,0.0093641727,0.0029325513,-0.005820503,Buy,2017W16
-5,-1,-3,-3,-12,1.0593,1.0679,1.0571,1.0612,-0.001122439,-0.000850662,0.0020774315,0.0093641727,0.0029325513,-0.005820503,-0.001122439,-0.000850662,-0.013612372,Hold,2017W15
-5,-1,-3,-3,-12,1.066,1.0691,1.058,1.059,-0.019803796,-0.006759294,-0.005820503,-0.001122439,-0.000850662,-0.013612372,-0.019803796,-0.006759294,0.0056807599,Sell,2017W14
-5,-3,-3,-4,-15,1.0799,1.0907,1.0652,1.0652,0.0073889351,-0.006250583,-0.013612372,-0.019803796,-0.006759294,0.0056807599,0.0073889351,-0.006250583,0.0061844078,Hold,2017W13
